gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,No,36,Yes,No,Fiber optic,One year,Yes,Credit card (automatic),21.1,759.6,No
Female,0,No,Yes,60,No,Yes,DSL,Month-to-month,Yes,Mailed check,104.46,6296.16,No
Male,0,Yes,No,33,Yes,No,Fiber optic,Month-to-month,No,Bank transfer (automatic),51.29,1705.9,Yes
Male,0,No,No,69,Yes,No,Fiber optic,Two year,No,Mailed check,87.47,6087.86,No
Male,0,Yes,Yes,16,No,No,Fiber optic,One year,Yes,Bank transfer (automatic),114.65,1834.4,No
Female,0,No,No,19,Yes,No,Fiber optic,Month-to-month,Yes,Mailed check,75.63,1447.27,No
Male,0,No,No,72,Yes,No,Fiber optic,Month-to-month,No,Electronic check,58.51,4212.72,No
Male,0,Yes,Yes,58,Yes,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),45.36,2684.07,No
Male,0,No,No,68,Yes,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),113.27,7704.46,Yes
Female,0,Yes,Yes,32,No,No,No,Month-to-month,Yes,Mailed check,87.57,2872.43,No
Male,0,Yes,No,16,Yes,No,DSL,Month-to-month,No,Bank transfer (automatic),85.86,1444.31,Yes
Male,0,Yes,No,56,Yes,No,DSL,Month-to-month,No,Credit card (automatic),61.47,3442.32,No
Male,1,No,No,0,Yes,Yes,Fiber optic,Two year,No,Electronic check,104.19,78.25,Yes
Male,0,No,No,12,Yes,Yes,No,One year,Yes,Credit card (automatic),90.79,1136.03,No
Female,0,Yes,No,26,Yes,No,No,One year,Yes,Mailed check,46.88,1218.88,No
Male,0,Yes,No,69,Yes,No,Fiber optic,Month-to-month,Yes,Mailed check,79.16,5504.1,No
Female,0,No,Yes,58,Yes,No,Fiber optic,Month-to-month,No,Bank transfer (automatic),61.88,3589.04,No
Female,1,No,No,5,Yes,Yes,Fiber optic,Two year,No,Electronic check,18.67,161.4,No
Female,0,No,No,22,Yes,Yes,Fiber optic,Two year,No,Electronic check,100.38,2213.32,No
Male,1,Yes,Yes,9,Yes,No,Fiber optic,Two year,Yes,Mailed check,30.53,319.17,No
Female,0,Yes,No,50,Yes,Yes,No,Two year,No,Bank transfer (automatic),70.02,3501.0,No
Male,1,Yes,No,18,No,No,Fiber optic,Two year,Yes,Credit card (automatic),52.3,955.49,No
Female,0,Yes,No,50,No,No,Fiber optic,One year,Yes,Credit card (automatic),52.89,2688.8,No
Female,0,Yes,Yes,67,Yes,Yes,Fiber optic,Two year,Yes,Mailed check,66.69,4483.62,No
Female,0,No,Yes,41,Yes,No,Fiber optic,One year,Yes,Mailed check,119.7,4935.77,No
Female,0,Yes,Yes,56,Yes,No,Fiber optic,Month-to-month,No,Credit card (automatic),59.65,3340.4,Yes
Female,0,No,No,67,Yes,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),36.6,2467.43,No
Female,0,No,Yes,37,Yes,Yes,DSL,Two year,No,Credit card (automatic),80.59,2981.83,No
Female,0,Yes,No,61,Yes,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),42.1,2568.1,No
Female,0,No,Yes,6,Yes,No,Fiber optic,Two year,Yes,Electronic check,28.77,172.62,Yes
Male,0,Yes,No,70,Yes,No,No,Month-to-month,Yes,Mailed check,23.12,1618.4,No
Male,0,No,No,49,No,No,DSL,Month-to-month,Yes,Mailed check,20.33,996.17,No
Female,0,Yes,No,51,Yes,No,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),61.98,3162.3,No
Female,0,Yes,Yes,25,Yes,No,Fiber optic,Month-to-month,Yes,Credit card (automatic),61.53,1538.25,Yes
Female,0,No,No,25,Yes,No,DSL,Month-to-month,Yes,Bank transfer (automatic),36.93,923.25,No
Male,0,Yes,Yes,18,Yes,No,No,Month-to-month,No,Credit card (automatic),97.97,1780.52,Yes
Female,0,No,No,8,Yes,Yes,No,Two year,No,Mailed check,31.19,290.82,No
Male,0,Yes,No,60,Yes,No,DSL,Month-to-month,No,Electronic check,111.36,6697.36,Yes
Male,0,Yes,Yes,19,Yes,No,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),77.93,1519.95,No
Male,0,Yes,No,49,Yes,No,Fiber optic,Month-to-month,Yes,Credit card (automatic),20.82,1020.18,No
Male,0,No,No,21,Yes,No,No,One year,Yes,Mailed check,116.22,2440.62,No
Male,0,No,Yes,12,Yes,Yes,DSL,One year,No,Electronic check,49.41,596.63,No
Female,0,Yes,No,11,Yes,No,DSL,One year,Yes,Bank transfer (automatic),63.9,710.2,No
Female,0,No,Yes,9,Yes,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),47.0,423.0,No
Female,1,Yes,No,64,Yes,No,No,Month-to-month,Yes,Mailed check,92.3,5907.2,No
Female,0,No,No,29,Yes,No,DSL,One year,Yes,Bank transfer (automatic),67.54,2008.78,No
Female,0,No,Yes,7,Yes,No,Fiber optic,Two year,No,Mailed check,31.5,220.5,No
